Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Семенченко,Руслан,Лідійовна,Чоловік,1995.12.29,Пекар,місто Вінниця,"площа Гвардійська, буд. 7 кв. 6, Стебник, 96094",006 678 33 87,abezborodky@example.net
Байда,Зиновій,Андриянівна,Чоловік,1963.08.10,Астроном,село Рубіжне,"шосе Одеський, буд. 847 кв. 963, Хуст, 78648",+380 (56) 642-05-86,obabak@example.org
Фурс,Валентин,Болеславівна,Чоловік,1956.08.15,Публіцист,село Олександрія,"проспект Восьмого березня 4-й, буд. 794 кв. 495, Лутугине, 32717",098 174 63 65,ovsiienkomariia@example.com
Фоменко,Охрім,Даніїлівна,Чоловік,1973.10.10,Слідчий,село Березне,"узвіз Теплична, буд. 76, Ічня, 47502",008 996-35-35,shapovalveniiamyn@example.net
Шеремета,Данна,Трифонівна,Жінка,1984.12.06,Ді-джей,село Золотоноша,"проспект Хвойний, буд. 80, Горлівка, 32676",765-60-82,spas63@example.net
Онищенко,Роксолана,Іларіонівна,Жінка,1980.12.29,Дерун,село Баранівка,"сквер Історія Футболу, буд. 88, Баранівка, 84523",591-81-52,vvakhnii@example.com
Рябовіл,Клавдія,Мар’янович,Жінка,1956.01.13,Антрополог,місто Тараща,"провулок Шкодова гора, буд. 02 кв. 18, Чернігів, 36670",796-19-98,oabrahamovskyi@example.net
Алексійчук,Лілія,Євгенович,Жінка,1952.01.24,Геолог,хутір Ланівці,"вулиця Ланжерон, буд. 6, Моспине, 10102",+380 88 656-77-10,leonidhres@example.com
Атаманчук,Леопольд,Мелентіївна,Чоловік,2001.04.05,Епідеміолог,село Миргород,"сквер Авіаційна, буд. 07, Ровеньки, 26141",256 33 14,itverdokhlib@example.net
Швайка,Леон,Казимирівна,Чоловік,1989.09.30,Професор,хутір Заставна,"площа М’ясоєдовська, буд. 219, Семенівка, 25893",+380 33 169-04-73,tpelekh@example.net
Парасюк,Григорій,Назаріївна,Чоловік,1975.10.08,Програміст,місто Алчевськ,"парк Хімічний 1-й, буд. 155 кв. 8, Костопіль, 95803",+380 23 802 14 56,ilchenkoonysym@example.org
Скопенко,Леонтій,Ростиславівна,Чоловік,1983.07.06,Золотар,селище Світловодськ,"площа Іцхака Рабіна, буд. 6, Ходорів, 18364",086 932-40-99,lukianvenhrynovych@example.net
Карпа,Юстим,Вітольдівна,Чоловік,2001.11.10,Намотувальник,місто Сніжне,"узвіз Дворянська, буд. 79, Комарно, 98398",+380 (28) 277-81-65,petro79@example.net
Яремко,Ілля,Миронівна,Чоловік,1995.07.27,Астронавт,село Тетіїв,"набережна 5-та Суворовська, буд. 62 кв. 0, Каховка, 66116",017 180 37 41,fvasylenko@example.org
Жарко,Еріка,Марківна,Жінка,1997.12.30,Ріелтор,селище Вижниця,"парк Старицького, буд. 71, Заводське, 97767",136-47-19,vernyhorarozaliia@example.org
Савенко,Оксенія,Дорофіївна,Жінка,1998.04.16,Кіноактор,село Радивилів,"шосе Ляпідевського, буд. 9 кв. 42, Тернопіль, 81755",811 39 39,okhrim43@example.com
Архипенко,Єлисавета,Артемівна,Жінка,1989.01.24,Маркетолог,село Нікополь,"узвіз 4-та Лінія Марії Демченко, буд. 3, Чорнобиль, 97071",+380 75 201 95 26,nfilipenko@example.net
Лубенець,Сніжана,Іпатіївна,Жінка,1952.11.19,Мірошник,хутір Чистякове,"вулиця Миколи Гумільова, буд. 186 кв. 960, Белз, 69242",015 969 44 01,izhakevychpylyp@example.net
Дубина,Аркадій,Тимофіївна,Чоловік,1968.03.17,Конструктор,хутір Першотравенськ,"проспект Діхтієвського Віктора, буд. 366 кв. 23, Вовчанськ, 05149",071 419-98-07,onufriienkosymon@example.net
Дзюба,Артем,Горгоніївна,Чоловік,1997.11.17,Палеонтолог,селище Генічеськ,"проспект Травневий 3-й, буд. 7 кв. 55, Бар, 38539",+380 (71) 663-00-87,bezborodkyroman@example.net
Саєнко,Петро,Русланович,Чоловік,1982.07.14,Археолог,селище Полтава,"провулок В’ячеслава Чорновола, буд. 330 кв. 873, Костопіль, 39657",831 56 94,zlevchenko@example.com
Шухевич,Єфрем,Юхимівна,Чоловік,1985.03.11,Лікар,місто Березань ,"узвіз Соляний 7-й, буд. 3, Соледар, 13646",+380 36 233-71-56,daryna27@example.com
Вакуленко,Амвросій,Лідійовна,Чоловік,1973.12.20,Продюсер,село Кальміуське,"провулок Верстатобудівна, буд. 182 кв. 77, Петрово-Красносілля, 93676",361 62 08,liudmyla51@example.net
Деркач,Михайло,Марківна,Чоловік,1963.01.12,Гицель,місто Шпола,"вулиця Професора Каришковського, буд. 7, Середина-Буда, 16774",072 311 24 03,romanenkoiaroslav@example.net
Іщак,Єва,Натанович,Жінка,2001.08.21,Графік,місто Єнакієве,"набережна Верхня, буд. 622, Миргород, 55671",682 75 46,svyrydenkoborys@example.com
Гаврилів,Орися,Ізмаїлівна,Жінка,1987.05.06,Сантехнік,село Вільногірськ,"парк Ползунова 1-й, буд. 823 кв. 11, Кропивницький, 01448",+380 13 831 82 17,bohdanna30@example.net
Шаповал,Ліза,Ярославівна,Жінка,1970.12.08,Продюсер,хутір Дружба ,"парк Іванова Ігоря, буд. 123 кв. 843, Борзна, 31466",035 513 10 89,dandrusenko@example.net
Михалюк,Святослава,Мелентіївна,Жінка,1976.08.31,Лікар,село Верхівцеве,"провулок Гагаріна, буд. 3, Чортків, 63945",+380 (19) 246-11-30,varvaraabramchuk@example.net
Безбородьки,Стефан,Андриянівна,Чоловік,1998.12.03,Стиліст,селище Федорівка,"провулок Степова, буд. 145 кв. 015, Гайсин, 76535",740-39-93,vvdovenko@example.net
Журавель,Владислав,Мартінівна,Чоловік,1968.03.22,Бібліотекар,місто Бобровиця,"площа Гаванна, буд. 84 кв. 27, Рожище, 09651",012 896 81 06,rromanchuk@example.com
Чередник,Амвросій,Анікітівна,Чоловік,1972.02.07,Музичний редактор,селище Пологи ,"сквер Ювілейний 1-й, буд. 237, Таврійськ, 89868",+380 95 769-65-94,ytsiupa@example.org
Михалюк,Дмитро,Григоріївич,Чоловік,1994.07.21,Бухгалтер,село Березівка,"набережна Трудовий, буд. 95, Золочів, 17287",+380 69 942 50 87,savenkomykolai@example.com
Акименко,Юстим,Валеріївна,Чоловік,1978.05.25,Електрослюсар,село Почаїв,"площа Кедровий, буд. 46, Кальміуське, 72630",+380 (51) 195-96-14,azardakhno@example.net
Тимчук,Тимофій,Маркелівна,Чоловік,1968.02.01,Музичний редактор,хутір П'ятихатки,"площа Васнецова, буд. 88, Сєвєродонецьк, 92782",+380 (80) 009-19-31,mykolaivlasiuk@example.net
Семенченко,Данна,Григоріївич,Жінка,1982.08.10,Менеджер,місто Старий Крим,"вулиця Картамишевський, буд. 716, Миргород, 08181",+380 23 771-77-20,herman88@example.org
Яремків,Соломія,Анікітівна,Жінка,1989.06.11,Ді-джей,село Шостка,"провулок Курортний, буд. 291, Борщів, 19525",+380 (16) 172-96-54,leonrak@example.net
Лукаш,Святослава,Агапіївна,Жінка,1967.12.01,Стиліст,селище Тлумач,"узвіз Лиманчик 2-й Лінія 2-га, буд. 783, Дубляни, 33313",+380 06 307-67-05,kchernenko@example.org
Дашенко,Єлисавета,Гаврилівна,Жінка,1954.05.01,Машиніст,хутір Євпаторія,"вулиця Агрономічна, буд. 9 кв. 519, Новий Буг, 54256",011 139-91-95,cbashpolchenko@example.com
Гайдабура,Георгій,Никифорівна,Чоловік,1958.03.17,Штукатур,село Берестечко,"провулок Різдвяна, буд. 3 кв. 85, Перевальськ, 20528",056 310-09-95,uivanenko@example.com
Девдюк,Аарон,Спартаківна,Чоловік,1970.03.02,Пекар,село Алупка,"парк Лузанівська, буд. 858 кв. 290, Новоград-Волинський, 51641",+380 (87) 264-58-19,shcherbanamaliia@example.net
Христич,Степан,Всеволодівна,Чоловік,1998.01.02,Модель,місто Шепетівка,"провулок Наявний 1-й, буд. 8 кв. 7, Золоте, 02930",+380 32 454 21 47,zasukhalukian@example.com
